school id,deliveries,Dr number,date
117008,C1 LOT 6  KS2 G4toG6 ,13416,
117015,C1 LOT 6  KS2 G4toG6 ,13417,
117017,C1 LOT 6  KS2 G4toG6 ,13418,
117021,C1 LOT 6  KS2 G4toG6 ,13419,
117022,C1 LOT 6  KS2 G4toG6 ,13420,
117024,C1 LOT 6  KS2 G4toG6 ,13421,
117026,C1 LOT 6  KS2 G4toG6 ,13422,
117032,C1 LOT 6  KS2 G4toG6 ,13423,
117036,C1 LOT 6  KS2 G4toG6 ,13424,
117038,C1 LOT 6  KS2 G4toG6 ,13425,
117109,C1 LOT 6  KS2 G4toG6 ,13426,
117110,C1 LOT 6  KS2 G4toG6 ,13427,
117111,C1 LOT 6  KS2 G4toG6 ,13428,
117112,C1 LOT 6  KS2 G4toG6 ,13429,
117116,C1 LOT 6  KS2 G4toG6 ,13430,
117120,C1 LOT 6  KS2 G4toG6 ,13431,
117121,C1 LOT 6  KS2 G4toG6 ,13432,
117128,C1 LOT 6  KS2 G4toG6 ,13433,
117130,C1 LOT 6  KS2 G4toG6 ,13434,
117135,C1 LOT 6  KS2 G4toG6 ,13435,
117148,C1 LOT 6  KS2 G4toG6 ,13436,
117149,C1 LOT 6  KS2 G4toG6 ,13437,
117150,C1 LOT 6  KS2 G4toG6 ,13438,
117151,C1 LOT 6  KS2 G4toG6 ,13439,
117160,C1 LOT 6  KS2 G4toG6 ,13440,
117161,C1 LOT 6  KS2 G4toG6 ,13441,
117169,C1 LOT 6  KS2 G4toG6 ,13442,
117174,C1 LOT 6  KS2 G4toG6 ,13443,
117176,C1 LOT 6  KS2 G4toG6 ,13444,
117179,C1 LOT 6  KS2 G4toG6 ,13445,
117180,C1 LOT 6  KS2 G4toG6 ,13446,
117181,C1 LOT 6  KS2 G4toG6 ,13447,
117184,C1 LOT 6  KS2 G4toG6 ,13448,
117185,C1 LOT 6  KS2 G4toG6 ,13449,
117195,C1 LOT 6  KS2 G4toG6 ,13450,
117196,C1 LOT 6  KS2 G4toG6 ,13451,
117197,C1 LOT 6  KS2 G4toG6 ,13452,
117198,C1 LOT 6  KS2 G4toG6 ,13453,
